verdict_id,package,source_file,claim_or_scenario,original_status,normalized_epistemic_state,reason_or_correction,audit_note
V-0045,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,Vacío completamente vacío es estable,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,La rama negativa ocupada es el mínimo local finito,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0046,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,Rama negativa ilimitadamente ocupable,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,Destruye la cota inferior,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0047,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FINAL_V83_V90__RESULTADOS_SUPERADOS_O_REFINADOS_V83_V90.csv,Clifford = espín físico,limitado,LIMITADA_O_CONVENCIONAL,Falta grupo de rotaciones y estadística.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0048,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FINAL_V83_V90__RESULTADOS_SUPERADOS_O_REFINADOS_V83_V90.csv,τ± = partícula/antipartícula,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,Son orientaciones inseparables antes de carga.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0049,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FINAL_V83_V90__RESULTADOS_SUPERADOS_O_REFINADOS_V83_V90.csv,Conjugación = antimateria física,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Requiere interacción conjugada.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0050,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FINAL_V83_V90__RESULTADOS_SUPERADOS_O_REFINADOS_V83_V90.csv,Vacío lleno resuelve infinito,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,Sólo finito con corte.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0051,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FINAL_V83_V90__RESULTADOS_SUPERADOS_O_REFINADOS_V83_V90.csv,Sustracción = renormalización completa,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,No.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0052,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FINAL_V83_V90__RESULTADOS_SUPERADOS_O_REFINADOS_V83_V90.csv,Conexión = electromagnetismo completo,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Faltaban dinámica y fuentes.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0053,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FINAL_V83_V90__RESULTADOS_SUPERADOS_O_REFINADOS_V83_V90.csv,F² microscópico exacto,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Es límite débil.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0054,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FINAL_V83_V90__RESULTADOS_SUPERADOS_O_REFINADOS_V83_V90.csv,Electromagnetismo ya completo,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,"Faltan cuantización, unidades y acoplamiento dinámico.",NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0055,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Grupo estándar derivado,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo compatible; requiere separabilidad operacional,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0056,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,"Tres (3,2) forman singlete",fallo útil,REFUTADA_O_NO_APOYADA_EN_MODELO,No hay singlete SU(2) total,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0057,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Orientación causal da masa,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Requiere Phi0,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0058,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Mínimo positivo universal,superado,REVISADA_REEMPLAZADA_O_SUPERADA,No demostrado,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0059,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Hilo fractal basta para 3D,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Falla topología/localidad/propagación,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0060,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Eficiencia selecciona d=3,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Depende del costo,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0061,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Ciclos seleccionan d=3,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo bandas estrechas,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0062,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Canales cuánticos seleccionan d=3,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Favorecen extremos,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0063,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_4_DOCS_31_40/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Pauli deriva espacio físico,limitado,LIMITADA_O_CONVENCIONAL,Sólo 3D interna,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0064,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Cierre de ciclos selecciona d=3,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo impone integrabilidad y conserva el rango construido,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0065,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Rango 3 óptimo universal,condicional,CONDICIONAL,Sólo aparece para ciertos costos,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0066,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Sectores 1+3+5 son campos físicos,limitado,LIMITADA_O_CONVENCIONAL,Es sólo descomposición algebraica,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0067,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Toy de adyacencia deriva Einstein,no derivado,DERIVADA_O_EXACTA_EN_SU_MARCO,Sólo muestra respuesta geométrica cualitativa,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0068,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Isotropía exacta microscópica,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Se rompe a alta k,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0069,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Semigrupo prohíbe agujero blanco,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo vuelve inestable la inversión reducida,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0070,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,No unitariedad fundamental,superado,REVISADA_REEMPLAZADA_O_SUPERADA,La dinámica global puede seguir unitaria,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0071,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Colapso irreversible fundamental,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Irreversibilidad surge al ignorar ancillas,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0072,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_FASE_5_DOCS_41_50/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Espectro exactamente térmico,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo es térmico localmente en omega pequeña,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0073,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,I=f(p),superado,REVISADA_REEMPLAZADA_O_SUPERADA,"igual p, distinta I",NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0074,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,1D implica masa,superado,REVISADA_REEMPLAZADA_O_SUPERADA,puede ser gapless,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0075,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,orientación genera masa,superado,REVISADA_REEMPLAZADA_O_SUPERADA,sigue gapless,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0076,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,holonomía fija da masa finita,superado,REVISADA_REEMPLAZADA_O_SUPERADA,E~1/n,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0077,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,una protección basta,superado,REVISADA_REEMPLAZADA_O_SUPERADA,A/B/C resuelven problemas distintos,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0078,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,más identidad siempre estabiliza,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,puede aumentar escapes definidos,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0079,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,proxies Omega suficientes,superado cuantitativamente,REVISADA_REEMPLAZADA_O_SUPERADA,peores que Z/sqrtQ,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0080,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,término dominante basta,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,requiere extremo/identidad/curvatura,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0081,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,perfil micro supera forma efectiva,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,queda peor que v68,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0082,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Preformación explicada por composición,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,La mejora es modesta y proxies de capa no son universales.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0083,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Frontera global mejora cierre,refutado como universal,REFUTADA_O_NO_APOYADA_EN_MODELO,El cierre duro/ponderado aislado empeora LOOCV.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0084,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Identidad = mismo objeto/material,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Se redefine como red histórica en una naturaleza.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0085,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Identidad = atractor fijo,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Gas es estadístico; estrella variedad lenta; metal jerárquico.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0086,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Baja puntuación = muerte,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Puede haber costo de retorno finito.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0087,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Alta potencialidad radiativa implica límite energético,superado,REVISADA_REEMPLAZADA_O_SUPERADA,No; sólo exclusividad y finitud producen límite duro.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0088,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/09_AUDITORIAS_COMPLETAS/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79/06_ESTADO_CIENTIFICO/RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Un régimen de ocupación universal,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Ninguno reproduce todo; se favorece mezcla.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
